The Richmond,,,,2018-05-06,2018-05-07,May      ,May      ,Sunday   ,Monday   ,1,Spring,8
"The Waterfront Hotel, Spa & Golf","The Waterfront Hotel, Spa & Golf, Wyboston, Bedfordshire - save 48%",290,48,2018-03-30,2018-03-31,March    ,March    ,Friday   ,Saturday ,1,Spring,8
Ruby Lissi Hotel Vienna,"Ruby Lissi Hotel Vienna, Vienna, Austria - save 54%",99,54,2018-04-06,2018-04-08,April    ,April    ,Friday   ,Sunday   ,2,Spring,8
Sofitel Frankfurt Opera,,,,2018-03-17,2018-03-18,March    ,March    ,Saturday ,Sunday   ,1,Winter,8
Romantikhotel Waxenstein,,,,2018-03-09,2018-03-11,March    ,March    ,Friday   ,Sunday   ,2,Winter,8
a-ja Resort Groemitz,,,,2018-02-10,2018-02-11,February ,February ,Saturday ,Sunday   ,1,Winter,8
Roewers Privathotel - The Spa Concept,,,,2018-03-16,2018-03-18,March    ,March    ,Friday   ,Sunday   ,2,Winter,8
The Washington Mayfair Hotel,,,,2018-03-24,2018-03-25,March    ,March    ,Saturday ,Sunday   ,1,Spring,8
The Washington Mayfair Hotel,,,,2018-02-24,2018-02-25,February ,February ,Saturday ,Sunday   ,1,Winter,8
The Richmond,,,,2018-03-24,2018-03-25,March    ,March    ,Saturday ,Sunday   ,1,Spring,8
Roewers Privathotel - The Spa Concept,,,,2018-02-23,2018-02-25,February ,February ,Friday   ,Sunday   ,2,Winter,8
The Tower Hotel,,,,2018-02-10,2018-02-11,February ,February ,Saturday ,Sunday   ,1,Winter,8
Ulfsunda Slott,,,,2018-03-17,2018-03-18,March    ,March    ,Saturday ,Sunday   ,1,Winter,8
The Tower Hotel,,,,2018-02-17,2018-02-18,February ,February ,Saturday ,Sunday   ,1,Winter,8
"The Hoxton, Shoreditch",,,,2018-04-01,2018-04-02,April    ,April    ,Sunday   ,Monday   ,1,Spring,8
a-ja Resort Warnemuende,,,,2018-03-09,2018-03-11,March    ,March    ,Friday   ,Sunday   ,2,Winter,7
Ruthin Castle Hotel & Spa,,,,2018-01-06,2018-01-07,January  ,January  ,Saturday ,Sunday   ,1,Winter,7
Queens Hotel Cheltenham - MGallery by Sofitel,,,,2018-02-17,2018-02-18,February ,February ,Saturday ,Sunday   ,1,Winter,7
Zollenspieker Faehrhaus,,,,2018-03-02,2018-03-03,March    ,March    ,Friday   ,Saturday ,1,Winter,7
The Rembrandt,,,,2018-01-24,2018-01-25,January  ,January  ,Wednesday,Thursday ,1,Winter,7
Ruby Lissi Hotel Vienna,"Ruby Lissi Hotel Vienna, Vienna, Austria - save 54%",99,54,2018-02-23,2018-02-24,February ,February ,Friday   ,Saturday ,1,Winter,7
Radisson Blu Hotel Köln,,,,2018-02-24,2018-02-25,February ,February ,Saturday ,Sunday   ,1,Winter,7
The Abbey Hotel,,,,2018-02-24,2018-02-25,February ,February ,Saturday ,Sunday   ,1,Winter,7
Zollenspieker Faehrhaus,,,,2018-04-01,2018-04-02,April    ,April    ,Sunday   ,Monday   ,1,Spring,7
The Old Swan,,,,2018-02-22,2018-02-23,February ,February ,Thursday ,Friday   ,1,Winter,7
Spitbank Fort,,,,2018-03-11,2018-03-12,March    ,March    ,Sunday   ,Monday   ,1,Winter,7
The Orchid Hotel,,,,2018-03-10,2018-03-11,March    ,March    ,Saturday ,Sunday   ,1,Winter,7
Sofitel Frankfurt Opera,,,,2018-02-24,2018-02-25,February ,February ,Saturday ,Sunday   ,1,Winter,7
Relais Montemarino,"Relais Montemarino, Piemonte, Italy - save 57%",79,57,2018-03-23,2018-03-25,March    ,March    ,Friday   ,Sunday   ,2,Spring,7
Stanwell House,"Stanwell House, Lymington, Hampshire - save 50%",89,50,2018-03-15,2018-03-16,March    ,March    ,Thursday ,Friday   ,1,Winter,7
a-ja Resort Groemitz,,,,2018-01-26,2018-01-28,January  ,January  ,Friday   ,Sunday   ,2,Winter,7
Radisson Blu Hotel Köln,,,,2018-04-28,2018-04-29,April    ,April    ,Saturday ,Sunday   ,1,Spring,7
The Crazy Bear Beaconsfield,"The Crazy Bear Beaconsfield, Beaconsfield, Buckinghamshire - save 60%",295,60,2018-06-08,2018-06-09,June     ,June     ,Friday   ,Saturday ,1,Spring,7
Macdonald Bath Spa Hotel,"Macdonald Bath Spa Hotel, Bath, Somerset - save 41%",139,41,2018-02-24,2018-02-25,February ,February ,Saturday ,Sunday   ,1,Winter,7
Golden Tulip Berlin – Hotel Hamburg,,,,2018-04-06,2018-04-08,April    ,April    ,Friday   ,Sunday   ,2,Spring,7
Grand Hotel Amrath Kurhaus The Hague-Scheveningen,,,,2018-04-02,2018-04-05,April    ,April    ,Monday   ,Thursday ,3,Spring,7
Grand Hotel Amrath Kurhaus The Hague-Scheveningen,,,,2018-04-06,2018-04-08,April    ,April    ,Friday   ,Sunday   ,2,Spring,7
Maritim Hotel Kaiserhof Heringsdorf,,,,2018-02-09,2018-02-11,February ,February ,Friday   ,Sunday   ,2,Winter,7
Mercure Bristol Grand Hotel,"Mercure Bristol Grand Hotel, City Centre, Bristol - save 56%",69,56,2018-02-23,2018-02-24,February ,February ,Friday   ,Saturday ,1,Winter,7
Grand Hyatt Berlin,"Grand Hyatt Berlin, Berlin, Germany - save 50%",179,50,2018-03-03,2018-03-04,March    ,March    ,Saturday ,Sunday   ,1,Winter,7
Moevenpick Hamburg,,,,2017-12-27,2017-12-28,December ,December ,Wednesday,Thursday ,1,Winter,7
NH Gent Belfort,,,,2018-03-02,2018-03-04,March    ,March    ,Friday   ,Sunday   ,2,Winter,7
Avenue Beach Hotel,,,,2018-02-24,2018-02-25,February ,February ,Saturday ,Sunday   ,1,Winter,7
H10 London Waterloo,"H10 London Waterloo, Waterloo, London - save 53%",99,53,2018-02-23,2018-02-25,February ,February ,Friday   ,Sunday   ,2,Winter,7
H10 London Waterloo,"H10 London Waterloo, Waterloo, London - save 53%",99,53,2018-03-03,2018-03-04,March    ,March    ,Saturday ,Sunday   ,1,Winter,7
Norway city & fjord summer holiday with train travel,"Norway city & fjord summer holiday with train travel, Oslo, Balestrand & Bergen, with a scenic Sognefjord cruise - save 34%",1598,34,2018-06-07,2018-06-13,June     ,June     ,Thursday ,Wednesday,6,Spring,7
Old Swan & Minster Mill,"Old Swan & Minster Mill, Minster Lovell, Cotswolds - save 23%",169,23,2018-02-23,2018-02-24,February ,February ,Friday   ,Saturday ,1,Winter,7
Panorama Hotel Oberjoch,,,,2018-04-29,2018-05-01,April    ,May      ,Sunday   ,Tuesday  ,2,Spring,7
Park Hyatt Hamburg,,,,2018-04-20,2018-04-22,April    ,April    ,Friday   ,Sunday   ,2,Spring,7
Park Hyatt Hamburg,,,,2018-05-04,2018-05-06,May      ,May      ,Friday   ,Sunday   ,2,Spring,7
Hotel Bristol Berlin,,,,2018-03-16,2018-03-18,March    ,March    ,Friday   ,Sunday   ,2,Winter,7
De Vere Cotswold Water Park,,,,2018-02-16,2018-02-18,February ,February ,Friday   ,Sunday   ,2,Winter,7
De Vere Cotswold Water Park,,,,2018-04-27,2018-04-29,April    ,April    ,Friday   ,Sunday   ,2,Spring,7
De Vere Wotton House,"De Vere Wotton House, Dorking, Surrey - save 29%",149,29,2018-03-17,2018-03-18,March    ,March    ,Saturday ,Sunday   ,1,Winter,7
Bilderberg Kasteel Vaalsbroek,,,,2018-02-24,2018-02-25,February ,February ,Saturday ,Sunday   ,1,Winter,7
Donnington Valley Hotel & Spa,,,,2018-01-27,2018-01-28,January  ,January  ,Saturday ,Sunday   ,1,Winter,7
Dorint An der Messe Köln,,,,2018-03-02,2018-03-03,March    ,March    ,Friday   ,Saturday ,1,Winter,7
Dorint An der Messe Köln,,,,2018-04-28,2018-04-29,April    ,April    ,Saturday ,Sunday   ,1,Spring,7
Dorint Maison Messmer Baden-Baden,,,,2018-02-17,2018-02-18,February ,February ,Saturday ,Sunday   ,1,Winter,7
Dorint Resort & Spa Bad Brückenau,,,,2018-03-23,2018-03-25,March    ,March    ,Friday   ,Sunday   ,2,Spring,7
Dorint Resort & Spa Bad Brückenau,,,,2018-03-25,2018-03-27,March    ,March    ,Sunday   ,Tuesday  ,2,Spring,7
Hotel Salus Terme,"Hotel Salus Terme, Viterbo, Italy - save 56%",89,56,2018-02-25,2018-02-26,February ,February ,Sunday   ,Monday   ,1,Winter,7
Hotel Schloss Wellness & Family,"Hotel Schloss Wellness & Family, Near St. Moritz, Switzerland - save 34%",123.03,34,2018-02-23,2018-02-25,February ,February ,Friday   ,Sunday   ,2,Winter,7
Hotel Taschenbergpalais Kempinski Dresden,,,,2018-05-10,2018-05-13,May      ,May      ,Thursday ,Sunday   ,3,Spring,7
Hudson New York,"Hudson New York, Midtown, New York - save 40%",79,40,2018-02-24,2018-02-25,February ,February ,Saturday ,Sunday   ,1,Winter,7
Inntel Hotel Art Eindhoven,,,,2018-02-23,2018-02-24,February ,February ,Friday   ,Saturday ,1,Winter,7
Inntel Hotel Art Eindhoven,,,,2018-03-02,2018-03-04,March    ,March    ,Friday   ,Sunday   ,2,Winter,7
InterContinental The Clement Monterey,,,,2018-02-24,2018-02-25,February ,February ,Saturday ,Sunday   ,1,Winter,7
Falkenberg Strandbad,,,,2018-03-23,2018-03-24,March    ,March    ,Friday   ,Saturday ,1,Spring,7
Apollo Hotel IJmuiden seaport beach,,,,2018-02-24,2018-02-25,February ,February ,Saturday ,Sunday   ,1,Winter,7
2018-02-19\DACH-DOMHOT\The Dude Berlin-Mitte\GERMANY\Berlin,,,,2018-03-23,2018-03-25,March    ,March    ,Friday   ,Sunday   ,2,Spring,6
Lifehouse Spa & Hotel,"Lifehouse Spa & Hotel, Thorpe-le-Soken, Essex - save 34%",99,34,2018-05-06,2018-05-07,May      ,May      ,Sunday   ,Monday   ,1,Spring,6
Loch Melfort Hotel,"Loch Melfort Hotel, Argyll, Scottish Highlands - save 57%",69,57,2018-02-23,2018-02-25,February ,February ,Friday   ,Sunday   ,2,Winter,6
Golden Tulip Berlin – Hotel Hamburg,,,,2018-02-23,2018-02-25,February ,February ,Friday   ,Sunday   ,2,Winter,6
Golden Tulip Berlin – Hotel Hamburg,,,,2018-03-10,2018-03-11,March    ,March    ,Saturday ,Sunday   ,1,Winter,6
Golden Tulip Berlin – Hotel Hamburg,,,,2018-03-30,2018-04-02,March    ,April    ,Friday   ,Monday   ,3,Spring,6
Citadines Munich Arnulfpark,,,,2018-02-23,2018-02-24,February ,February ,Friday   ,Saturday ,1,Winter,6
