"Ettington Park Hotel, Stratford-upon-Avon, Warwickshire - save 36%",England,HOTEL,99,36,2018-02-12 00:01:00.000000,2018-02-27 23:59:00.000000,15,59
"Urban Villa, Brentford, West London - save 54%",England,HOTEL,69,54,2018-02-19 00:01:00.000000,2018-02-27 23:59:00.000000,8,58
"Loch Melfort Hotel, Argyll, Scottish Highlands - save 57%",Scotland,HOTEL,69,57,2018-02-12 00:01:00.000000,2018-02-27 23:59:00.000000,15,58
"The Devonshire Park Hotel, Eastbourne, East Sussex - save 66%",England,HOTEL,129,66,2018-02-19 00:01:00.000000,2018-02-27 23:59:00.000000,8,58
"Mercure Bristol Grand Hotel, City Centre, Bristol - save 56%",England,HOTEL,69,56,2018-02-12 00:01:00.000000,2018-02-27 23:59:00.000000,15,58
"The Bell at Stow, Stow-on-the-Wold, Cotswolds - save 42%",England,HOTEL,69,42,2018-02-12 00:01:00.000000,2018-02-23 23:59:00.000000,11,58
"5* sublime Crete holiday with your own pool, Daios Cove Luxury Resort & Villas, Greece - save 39%",Greece,PACKAGE,998,39,2018-02-16 00:01:00.000000,2018-02-26 23:59:00.000000,10,58
"Hope Street Hotel, Liverpool, Merseyside - save 62%",England,HOTEL,99,62,2018-02-19 00:01:00.000000,2018-02-27 23:59:00.000000,8,58
"Tre-Ysgawen Hall Country House Hotel & Spa, Anglesey, Wales - save 62%",Wales/Cymru,HOTEL,198,62,2018-02-12 00:01:00.000000,2018-02-27 23:59:00.000000,15,57
"Taplow House Hotel, Taplow, Buckinghamshire - save 44%",England,HOTEL,149,44,2018-02-05 00:01:00.000000,2018-02-27 23:59:00.000000,22,57
"The Great House At Sonning, Sonning, near Reading, Berkshire - save 51%",England,HOTEL,64,51,2018-02-19 00:01:00.000000,2018-02-27 23:59:00.000000,8,56
"Lodore Falls Hotel, Keswick, Lake District - save 52%",England,HOTEL,159,52,2018-02-19 00:01:00.000000,2018-02-27 23:59:00.000000,8,55
"Grupotel Gran Via 678, Barcelona, Spain - save 37%",Spain,HOTEL,112,37,2018-02-11 00:01:00.000000,2018-02-26 23:59:00.000000,15,55
"Hotel Schloss Wellness & Family, Near St. Moritz, Switzerland - save 34%",Switzerland,HOTEL,123.03,34,2018-02-18 00:01:00.000000,2018-02-26 23:59:00.000000,8,54
"Hotel Concordia, Venice, Italy - save 51%",Italy,HOTEL,121,51,2018-02-18 00:01:00.000000,2018-02-26 23:59:00.000000,8,51
"Rowhill Grange Hotel & Utopia Spa, Dartford, Kent - save 40%",England,HOTEL,169,40,2018-02-05 00:01:00.000000,2018-02-27 23:59:00.000000,22,49
"The Waterfront Hotel, Spa & Golf, Wyboston, Bedfordshire - save 48%",England,HOTEL,290,48,2018-02-19 00:01:00.000000,2018-02-27 23:59:00.000000,8,49
"Grand Harbour Hotel, Southampton, Hampshire - save 55%",England,HOTEL,149,55,2018-02-19 00:01:00.000000,2018-02-27 22:59:00.000000,8,49
"Hotel dei Consoli, Rome, Italy - save 77%",Italy,HOTEL,69,77,2018-02-17 00:01:00.000000,2018-02-26 23:59:00.000000,9,49
"Castle Hotel Windsor - MGallery by Sofitel, Windsor, Berkshire - save 40%",England,HOTEL,109,40,2018-02-12 00:01:00.000000,2018-02-23 23:59:00.000000,11,48
"Hotel West End, Nice, France - save 44%",France,HOTEL,95,44,2018-02-11 00:01:00.000000,2018-02-26 23:59:00.000000,15,46
"Le Moulin de Vernègues Hôtel & Spa, Mallemort, Provence, France - save 52%",France,HOTEL,109,52,2018-02-17 00:01:00.000000,2018-02-26 23:59:00.000000,9,45
"Poets House, Ely, Cambridgeshire - save 46%",England,HOTEL,139,46,2018-02-18 00:01:00.000000,2018-02-27 23:59:00.000000,9,44
"Idyllic Montenegro apartment holiday with stunning views, Lavender Bay Resort, Kotor - save 24%",Montenegro,PACKAGE,1436,24,2018-01-19 00:01:00.000000,2018-02-26 23:59:00.000000,38,44
"Sofitel Brussels Le Louise, Brussels, Belgium - save 48%",Belgium,HOTEL,109,48,2018-02-18 00:01:00.000000,2018-02-26 23:59:00.000000,8,44
"Swinton Bivouac, Masham, North Yorkshire - save 41%",England,HOTEL,109,41,2018-02-05 00:01:00.000000,2018-02-27 23:59:00.000000,22,43
"Town Hall Hotel & Apartments, Bethnal Green, East London - save 36%",England,HOTEL,135,36,2018-02-11 00:01:00.000000,2018-02-27 23:59:00.000000,16,43
"Talland Bay Hotel, Polperro, Cornwall - save 54%",England,HOTEL,159,54,2018-02-12 00:01:00.000000,2018-02-27 23:59:00.000000,15,42
"Best Western Plus Birmingham NEC Meriden Manor Hotel, Meriden (near Coventry), West Midlands - save 45%",England,HOTEL,59,45,2018-02-19 00:01:00.000000,2018-02-27 23:59:00.000000,8,42
"Lords of the Manor, Upper Slaughter, Cotswolds - save 50%",England,HOTEL,229,50,2018-02-05 00:01:00.000000,2018-02-27 23:59:00.000000,22,42
"Tuscany farmhouse break with wine tours and car hire, Relais Campiglioni, Italy - save 46%",Italy,PACKAGE,638,46,2018-02-09 00:01:00.000000,2018-02-26 23:59:00.000000,17,41
"iRooms Forum & Colosseum, Rome, Italy - save 66%",Italy,HOTEL,94.05,66,2018-02-08 00:01:00.000000,2018-02-26 23:59:00.000000,18,41
"Adina Apartment Hotel Copenhagen, Copenhagen, Denmark - save 33%",Denmark,HOTEL,1150,33,2018-02-18 00:01:00.000000,2018-02-26 23:59:00.000000,8,41
"Ultra all-inclusive Corfu beachfront getaway, Grecotel Daphnila Bay Thalasso, Greek Islands - save 32%",Greece,PACKAGE,898,32,2018-02-09 00:01:00.000000,2018-02-26 23:59:00.000000,17,40
"5* exceptional Jersey foodie break with car hire, Longueville Manor, Channel Islands - save 45%",England,PACKAGE,598,45,2018-02-01 00:01:00.000000,2018-02-26 23:59:00.000000,25,39
"The Kimberley Hotel, Harrogate, North Yorkshire - save 40%",England,HOTEL,89,40,2018-02-19 00:01:00.000000,2018-02-27 23:59:00.000000,8,39
"Amberley Castle, Arundel, West Sussex - save 53%",England,HOTEL,269,53,2018-02-12 00:01:00.000000,2018-02-27 23:59:00.000000,15,38
"The Norfolk Mead Hotel, Norwich, Norfolk - save 33%",England,HOTEL,149,33,2018-01-29 00:01:00.000000,2018-02-27 23:59:00.000000,29,38
"La Medusa Hotel & Boutique Spa, Bay of Naples, Italy - save 44%",Italy,HOTEL,84,44,2018-02-12 00:01:00.000000,2018-02-26 23:59:00.000000,14,38
"Hillthwaite House Hotel, Windermere, Lake District - save 41%",England,HOTEL,129,41,2018-02-12 00:01:00.000000,2018-02-23 23:59:00.000000,11,38
"Ghyll Manor Hotel & Restaurant, Rusper, Horsham - save 50%",England,HOTEL,99,50,2018-02-19 00:01:00.000000,2018-02-27 23:59:00.000000,8,38
"Enterprise Hotel, Milan, Italy - save 49%",Italy,HOTEL,71.4,49,2018-02-16 00:01:00.000000,2018-02-26 23:59:00.000000,10,38
"Falkensteiner Premium Apartments Senia, Zadar, Croatia - save 50%",Croatia,HOTEL,102,50,2018-02-12 00:01:00.000000,2018-02-26 23:59:00.000000,14,37
"Whitworth Hall Hotel, Spennymoor, Durham - save 36%",England,HOTEL,75,36,2018-02-19 00:01:00.000000,2018-02-27 23:59:00.000000,8,36
"Antares Hotel Rubens, Milan, Italy - save 76%",Italy,HOTEL,89,76,2018-02-12 00:01:00.000000,2018-02-26 23:59:00.000000,14,36
